NAME,RELATIONSHIPAGE__C,WHOISYOURFATHER__C,PARENTOBJECT__C
Child1,22,Parent1,a014P000024vWR5QAM
Child2,20,Parent1,a014P000024vWR5QAM
Child3,20,Parent1,a014P000024vWR5QAM
Child4,30,Parent1,a014P000024vWR5QAM
Child5,40,Parent1,a014P000024vWR5QAM
Child6,45,Parent2,a014P000024vWR6QAM
Child7,50,Parent2,a014P000024vWR6QAM
Child8,55,Parent2,a014P000024vWR6QAM
Child9,60,Parent2,a014P000024vWR6QAM
Child10,65,Parent2,a014P000024vWR6QAM
Child11,70,Parent3,a014P000024vWR7QAM
Child12,80,Parent3,a014P000024vWR7QAM
Child13,90,Parent3,a014P000024vWR7QAM
Child14,10,Parent3,a014P000024vWR7QAM
Child15,95,Parent3,a014P000024vWR7QAM
Child16,20,Parent4,a014P000024vWR8QAM
Child17,30,Parent4,a014P000024vWR8QAM
Child18,40,Parent4,a014P000024vWR8QAM
Child19,45,Parent4,a014P000024vWR8QAM
Child20,50,Parent4,a014P000024vWR8QAM
Child21,55,Parent5,a014P000024vWR9QAM
Child22,60,Parent5,a014P000024vWR9QAM
Child23,65,Parent5,a014P000024vWR9QAM
Child24,70,Parent5,a014P000024vWR9QAM
Child25,80,Parent5,a014P000024vWR9QAM
Child26,90,Parent6,a014P000024vWRAQA2
Child27,10,Parent6,a014P000024vWRAQA2
Child28,95,Parent6,a014P000024vWRAQA2
Child29,20,Parent6,a014P000024vWRAQA2
Child30,30,Parent6,a014P000024vWRAQA2
Child31,40,Parent7,a014P000024vWRBQA2
Child32,45,Parent7,a014P000024vWRBQA2
Child33,50,Parent7,a014P000024vWRBQA2
Child34,55,Parent7,a014P000024vWRBQA2
Child35,60,Parent7,a014P000024vWRBQA2
Child36,65,Parent8,a014P000024vWRCQA2
Child37,70,Parent8,a014P000024vWRCQA2
Child38,80,Parent8,a014P000024vWRCQA2
Child39,90,Parent8,a014P000024vWRCQA2
Child40,10,Parent8,a014P000024vWRCQA2
Child41,95,Parent9,a014P000024vWRDQA2
Child42,12,Parent9,a014P000024vWRDQA2
Child43,13,Parent9,a014P000024vWRDQA2
Child44,14,Parent9,a014P000024vWRDQA2
Child45,15,Parent9,a014P000024vWRDQA2
Child46,16,Parent10,a014P000024vWREQA2
Child47,17,Parent10,a014P000024vWREQA2
Child48,18,Parent10,a014P000024vWREQA2
Child49,19,Parent10,a014P000024vWREQA2
Child50,20,Parent10,a014P000024vWREQA2
