"NAME","RELATIONSHIPAGE__C","PARENTOBJECT__C","WHOISYOURFATHER__C"
"Child1","22","a014P000024vWR5QAM","Parent1"
"Child2","20","a014P000024vWR5QAM","Parent1"
"Child3","20","a014P000024vWR5QAM","Parent1"
"Child4","30","a014P000024vWR5QAM","Parent1"
"Child5","40","a014P000024vWR5QAM","Parent1"
"Child6","45","a014P000024vWR6QAM","Parent2"
"Child7","50","a014P000024vWR6QAM","Parent2"
"Child8","55","a014P000024vWR6QAM","Parent2"
"Child9","60","a014P000024vWR6QAM","Parent2"
"Child10","65","a014P000024vWR6QAM","Parent2"
"Child11","70","a014P000024vWR7QAM","Parent3"
"Child12","80","a014P000024vWR7QAM","Parent3"
"Child13","90","a014P000024vWR7QAM","Parent3"
"Child14","10","a014P000024vWR7QAM","Parent3"
"Child15","95","a014P000024vWR7QAM","Parent3"
"Child16","20","a014P000024vWR8QAM","Parent4"
"Child17","30","a014P000024vWR8QAM","Parent4"
"Child18","40","a014P000024vWR8QAM","Parent4"
"Child19","45","a014P000024vWR8QAM","Parent4"
"Child20","50","a014P000024vWR8QAM","Parent4"
"Child21","55","a014P000024vWR9QAM","Parent5"
"Child22","60","a014P000024vWR9QAM","Parent5"
"Child23","65","a014P000024vWR9QAM","Parent5"
"Child24","70","a014P000024vWR9QAM","Parent5"
"Child25","80","a014P000024vWR9QAM","Parent5"
"Child26","90","a014P000024vWRAQA2","Parent6"
"Child27","10","a014P000024vWRAQA2","Parent6"
"Child28","95","a014P000024vWRAQA2","Parent6"
"Child29","20","a014P000024vWRAQA2","Parent6"
"Child30","30","a014P000024vWRAQA2","Parent6"
"Child31","40","a014P000024vWRBQA2","Parent7"
"Child32","45","a014P000024vWRBQA2","Parent7"
"Child33","50","a014P000024vWRBQA2","Parent7"
"Child34","55","a014P000024vWRBQA2","Parent7"
"Child35","60","a014P000024vWRBQA2","Parent7"
"Child36","65","a014P000024vWRCQA2","Parent8"
"Child37","70","a014P000024vWRCQA2","Parent8"
"Child38","80","a014P000024vWRCQA2","Parent8"
"Child39","90","a014P000024vWRCQA2","Parent8"
"Child40","10","a014P000024vWRCQA2","Parent8"
"Child41","95","a014P000024vWRDQA2","Parent9"
"Child42","12","a014P000024vWRDQA2","Parent9"
"Child43","13","a014P000024vWRDQA2","Parent9"
"Child44","14","a014P000024vWRDQA2","Parent9"
"Child45","15","a014P000024vWRDQA2","Parent9"
"Child46","16","a014P000024vWREQA2","Parent10"
"Child47","17","a014P000024vWREQA2","Parent10"
"Child48","18","a014P000024vWREQA2","Parent10"
"Child49","19","a014P000024vWREQA2","Parent10"
"Child50","20","a014P000024vWREQA2","Parent10"
